G,Date,Time,Day,School,,Opponent,Conf,,Pts,Opp,W,L,Streak,Notes
1,Sep 2 2013,8:00 PM,Mon,(10) Florida State,@,Pitt,ACC,W,41,13,1,0,W 1,
2,Sep 14 2013,3:30 PM,Sat,(10) Florida State,,Nevada,MWC,W,62,7,2,0,W 2,
3,Sep 21 2013,6:00 PM,Sat,(8) Florida State,,Bethune-Cookman,Non-Major,W,54,6,3,0,W 3,
4,Sep 28 2013,3:30 PM,Sat,(8) Florida State,@,Boston College,ACC,W,48,34,4,0,W 4,
5,Oct 5 2013,12:00 PM,Sat,(8) Florida State,,(25) Maryland,ACC,W,63,0,5,0,W 5,
6,Oct 19 2013,8:00 PM,Sat,(5) Florida State,@,(3) Clemson,ACC,W,51,14,6,0,W 6,
7,Oct 26 2013,3:30 PM,Sat,(3) Florida State,,North Carolina State,ACC,W,49,17,7,0,W 7,
8,Nov 2 2013,8:00 PM,Sat,(3) Florida State,,(7) Miami (FL),ACC,W,41,14,8,0,W 8,
9,Nov 9 2013,12:00 PM,Sat,(3) Florida State,@,Wake Forest,ACC,W,59,3,9,0,W 9,
10,Nov 16 2013,3:30 PM,Sat,(2) Florida State,,Syracuse,ACC,W,59,3,10,0,W 10,
11,Nov 23 2013,3:30 PM,Sat,(2) Florida State,,Idaho,Ind,W,80,14,11,0,W 11,
12,Nov 30 2013,12:00 PM,Sat,(2) Florida State,@,Florida,SEC,W,37,7,12,0,W 12,
13,Dec 7 2013,8:00 PM,Sat,(1) Florida State,N,(20) Duke,ACC,W,45,7,13,0,W 13,ACC Championship Game
14,Jan 6 2014,8:30 PM,Mon,(1) Florida State,N,(2) Auburn,SEC,W,34,31,14,0,W 14,BCS Championship (Pasadena CA)
