Date,Day,School,Opponent,Conf,Pts,Opp,Score Diff,Total Score,RVal
Oct 23 1999,Sat,(1) Florida State,Clemson,ACC,17,14,3,31,11.166666666666668
Jan 6 2014,Mon,(1) Florida State,(2) Auburn,SEC,34,31,3,65,16.833333333333336
Nov 20 1999,Sat,(1) Florida State,(3) Florida,SEC,30,23,7,53,17.785714285714285
Sep 11 1999,Sat,(1) Florida State,(10) Georgia Tech,ACC,41,35,6,76,18.333333333333332
Oct 9 1999,Sat,(1) Florida State,(19) Miami (FL),Big East,31,21,10,52,22.6
Sep 28 2013,Sat,(8) Florida State,Boston College,ACC,48,34,14,82,30.928571428571427
Jan 4 2000,Tue,(1) Florida State,(2) Virginia Tech,Big East,46,29,17,75,36.205882352941174
Oct 16 1999,Sat,(1) Florida State,Wake Forest,ACC,33,10,23,43,46.93478260869565
Oct 30 1999,Sat,(1) Florida State,Virginia,ACC,35,10,25,45,50.9
Nov 2 2013,Sat,(3) Florida State,(7) Miami (FL),ACC,41,14,27,55,55.01851851851852
Sep 2 2013,Mon,(10) Florida State,Pitt,ACC,41,13,28,54,56.964285714285715
Oct 2 1999,Sat,(1) Florida State,Duke,ACC,51,23,28,74,57.32142857142857
Nov 30 2013,Sat,(2) Florida State,Florida,SEC,37,7,30,44,60.733333333333334
Sep 18 1999,Sat,(1) Florida State,(20) North Carolina State,ACC,42,11,31,53,62.854838709677416
Sep 25 1999,Sat,(1) Florida State,North Carolina,ACC,42,10,32,52,64.8125
Oct 26 2013,Sat,(3) Florida State,North Carolina State,ACC,49,17,32,66,65.03125
Aug 28 1999,Sat,(1) Florida State,Louisiana Tech,Ind,41,7,34,48,68.70588235294117
Oct 19 2013,Sat,(5) Florida State,(3) Clemson,ACC,51,14,37,65,74.87837837837837
Dec 7 2013,Sat,(1) Florida State,(20) Duke,ACC,45,7,38,52,76.6842105263158
Nov 13 1999,Sat,(1) Florida State,Maryland,ACC,49,10,39,59,78.75641025641026
Sep 21 2013,Sat,(8) Florida State,Bethune-Cookman,Non-Major,54,6,48,60,96.625
Sep 14 2013,Sat,(10) Florida State,Nevada,MWC,62,7,55,69,110.62727272727273
Nov 16 2013,Sat,(2) Florida State,Syracuse,ACC,59,3,56,62,112.55357142857143
Nov 9 2013,Sat,(3) Florida State,Wake Forest,ACC,59,3,56,62,112.55357142857143
Oct 5 2013,Sat,(8) Florida State,(25) Maryland,ACC,63,0,63,63,126.5
Nov 23 2013,Sat,(2) Florida State,Idaho,Ind,80,14,66,94,132.71212121212122
